timestamp,price,amount
1514570400,14612.6001,601.33736692
1514577600,14241.2299,710.30324136
1514584800,14407.0598,617.87878882
1514592000,13718.3841,1576.15884798
1514599200,13480.5396,3436.1179192
1514606400,13434.805,1434.62749686
1514613600,13645.976,1065.07530074
1514620800,13285.41,1129.66571398
1514628000,13236.0935,2326.84005846
1514635200,12610.2698,4708.6713637
1514642400,12432.45,3868.49158514
1514649600,12661.8499,2828.61150482
1514656800,13020.22,1440.65183762
1514664000,12751.3399,987.0152177
1514671200,12408.0498,950.73166852
1514678400,12982.88,2403.02099526
1514685600,12996.3701,2335.60724368
1514692800,12705.7001,2017.22324356
1514700000,12842.6982,1971.9040879
1514707200,12506.8915,2106.11052386
1514714400,12981.28,2143.26583838
1514721600,13125.2298,2002.6305563
1514728800,13234.7098,2563.2733008
1514736000,13837.576,2801.46434188
1514736000,13837.576,2801.46434188
1514743200,13832.3999,713.1769376
1514750400,13918.3512,865.89313584
1514757600,13725.6701,931.15978776
1514764800,13263.7744,1568.38321028
1514772000,13387.1701,2388.61217362
1514779200,13541.5714,1876.43421048
1514786400,13567.01,1934.03510316
1514793600,13553.4,1471.0330557
1514800800,13190.0302,2404.467512
1514808000,13011.6203,1968.45735962
1514815200,13167.6301,2502.38423424
1514822400,13033.682,1293.32978628
1514829600,13223.1499,1028.73131968
1514836800,13455.2602,1430.08676962
1514844000,13350.7901,1253.76656958
1514851200,13629.2968,2544.51443462
1514858400,13345.0994,3064.7117684
1514865600,13190.6699,2581.6401495
1514872800,13356.9501,1505.15369426
1514880000,13516.7708,2987.52336152
1514887200,13527.9698,1522.02964728
1514894400,13850.3398,2883.10321198
1514901600,13652.8499,1640.09642102
1514908800,13829.5601,1519.00165348
1514916000,14760.0399,3557.09397412
1514923200,14673.7103,1566.63478226
1514930400,14673.24,1190.49112128
1514937600,14789.1344,1488.81935384
1514944800,14780,2329.10090758
1514952000,14996.8624,2211.69167666
1514959200,15232.6899,2404.9156784
1514966400,14628.6477,3467.32469028
1514973600,14717.056,3405.37629506
1514980800,14793.7658,2362.4542692
1514988000,14986.0062,2572.58907962
1514995200,14807.7483,1526.79879266
1515002400,14717.3001,1179.3348784
1515009600,14941.5002,998.9800687
1515016800,14972.4698,1594.03255064
1515024000,15225.8462,2299.07445544
1515031200,14949.34,2907.2229115
1515038400,14835.0601,2548.87332702
1515045600,14750,2549.43394876
1515052800,14373.7598,4031.26222952
1515060000,14555.2522,2222.76358236
1515067200,14547.7703,2437.01609668
1515074400,14429.8784,3273.60169626
1515081600,14680.6151,2152.92686144
1515088800,14940.6601,1623.92076748
1515096000,14948.1911,1392.5507057
1515103200,15130.5601,1046.8127777
1515110400,15049.5922,1702.56727802
1515117600,14943.2,2257.41563722
1515124800,14956.8467,2441.10321396
1515132000,14929.2,1640.31616716
1515139200,15918.8061,6080.0812226
1515146400,16124.78,3551.80663804
1515153600,16064.8703,2561.13787812
1515160800,16067.4898,2170.45021298
1515168000,16439.8753,2784.3942723
1515175200,16512.2998,1260.78537506
1515182400,16757.08,1050.04754028
1515189600,17014.4799,1591.72865818
1515196800,16977.3699,1935.54377844
1515204000,16461.2931,2597.87129006
1515204000,16461.2931,2597.87129006
1515211200,16639.8549,2644.19306462
1515218400,16545.1598,1856.7427637
1515225600,16432.8174,1963.0133916
1515232800,16514.5493,2130.529337
1515240000,16201.3199,3482.61531704
1515247200,16560.6001,2470.201856
1515254400,16849.283,1948.4102558
1515261600,16674.7831,1219.65963844
1515268800,16752.276,765.15890046
